Alpha,T1_Re1.000_M0.00_N9.0, , 
        -14.6,     0.1628426, , 
        -14.5,     0.1616263, , 
        -14.4,     0.1604054, , 
        -14.3,     0.1591721, , 
        -14.2,      0.157915, , 
        -14.1,     0.1566246, , 
          -14,      0.155312, , 
        -13.9,     0.1539813, , 
        -13.8,     0.1526315, , 
        -13.7,      0.151278, , 
        -13.6,     0.1499236, , 
        -13.5,     0.1485696, , 
        -13.4,     0.1472063, , 
        -13.3,     0.1458416, , 
        -13.2,     0.1444756, , 
        -13.1,     0.1431085, , 
          -13,     0.1417406, , 
        -12.9,     0.1403715, , 
        -12.8,     0.1390003, , 
        -12.7,     0.1376291, , 
        -12.6,     0.1362583, , 
        -12.5,     0.1348885, , 
        -12.4,     0.1335204, , 
        -12.3,     0.1321545, , 
        -12.2,      0.130792, , 
        -12.1,     0.1294318, , 
          -12,     0.1280767, , 
        -11.9,     0.1267286, , 
        -11.8,     0.1253884, , 
        -11.7,     0.1240541, , 
        -11.6,     0.1227167, , 
        -11.5,     0.1213576, , 
        -11.4,     0.1199778, , 
        -11.3,      0.118597, , 
        -11.2,     0.1172154, , 
        -11.1,     0.1158335, , 
          -11,     0.1144516, , 
        -10.9,     0.1130703, , 
        -10.8,     0.1116903, , 
        -10.7,     0.1103101, , 
        -10.6,     0.1089331, , 
        -10.5,     0.1075605, , 
        -10.4,     0.1061938, , 
        -10.3,     0.1048375, , 
        -10.2,     0.1035059, , 
        -10.1,     0.1021906, , 
          -10,     0.1008821, , 
         -9.9,    0.09956333, , 
         -9.8,    0.09822524, , 
         -9.7,     0.0968905, , 
         -9.6,    0.09556271, , 
         -9.5,    0.09424336, , 
         -9.4,    0.09293482, , 
         -9.3,    0.09163981, , 
         -9.2,    0.09036115, , 
         -9.1,    0.08910172, , 
           -9,    0.08786189, , 
         -8.9,    0.08663179, , 
         -8.8,    0.08538835, , 
         -8.7,    0.08415613, , 
         -8.6,    0.08295218, , 
         -8.5,    0.08188243, , 
         -8.4,    0.08090329, , 
         -8.3,    0.07982012, , 
         -8.2,    0.07878004, , 
           -8,    0.07528221, , 
         -7.9,    0.07343404, , 
         -7.8,    0.07147746, , 
         -7.7,    0.06947933, , 
         -7.6,    0.06740867, , 
         -7.5,    0.06523864, , 
         -7.4,    0.06304461, , 
         -7.3,    0.06074004, , 
         -7.2,    0.05835943, , 
         -7.1,    0.05594564, , 
           -7,    0.05345232, , 
         -6.9,    0.05096704, , 
         -6.8,    0.04836935, , 
         -6.7,     0.0457622, , 
         -6.6,    0.04307985, , 
         -6.5,    0.04019492, , 
         -6.4,     0.0372064, , 
         -6.3,    0.03451567, , 
         -6.2,    0.03246773, , 
         -6.1,    0.02362998, , 
           -6,    0.02129385, , 
         -5.9,    0.02019012, , 
         -5.8,    0.01942402, , 
         -5.7,    0.01880419, , 
         -5.6,    0.01825711, , 
         -5.5,    0.01775437, , 
         -5.4,     0.0173122, , 
         -5.3,    0.01690505, , 
         -5.2,    0.01650662, , 
         -5.1,    0.01612478, , 
           -5,    0.01576851, , 
