Alpha,T1_Re1.000_M0.00_N9.0, , 
        -14.6,    -0.5285561, , 
        -14.5,    -0.5260618, , 
        -14.4,    -0.5236001, , 
        -14.3,    -0.5211471, , 
        -14.2,    -0.5186632, , 
        -14.1,    -0.5161193, , 
          -14,    -0.5135801, , 
        -13.9,    -0.5110858, , 
        -13.8,    -0.5086434, , 
        -13.7,    -0.5062152, , 
        -13.6,    -0.5037904, , 
        -13.5,    -0.5013553, , 
        -13.4,    -0.4989549, , 
        -13.3,    -0.4965663, , 
        -13.2,    -0.4941905, , 
        -13.1,    -0.4918281, , 
          -13,    -0.4894803, , 
        -12.9,    -0.4871453, , 
        -12.8,    -0.4848179, , 
        -12.7,    -0.4825082, , 
        -12.6,    -0.4802186, , 
        -12.5,    -0.4779514, , 
        -12.4,    -0.4757095, , 
        -12.3,    -0.4734965, , 
        -12.2,    -0.4713167, , 
        -12.1,     -0.469164, , 
          -12,    -0.4670516, , 
        -11.9,     -0.464989, , 
        -11.8,     -0.462978, , 
        -11.7,     -0.461004, , 
        -11.6,    -0.4590109, , 
        -11.5,     -0.456892, , 
        -11.4,     -0.454658, , 
        -11.3,    -0.4524269, , 
        -11.2,    -0.4501999, , 
        -11.1,    -0.4479795, , 
          -11,    -0.4457682, , 
        -10.9,    -0.4435694, , 
        -10.8,    -0.4413873, , 
        -10.7,    -0.4392091, , 
        -10.6,    -0.4370582, , 
        -10.5,    -0.4349427, , 
        -10.4,    -0.4328743, , 
        -10.3,    -0.4308453, , 
        -10.2,    -0.4287889, , 
        -10.1,    -0.4267687, , 
          -10,    -0.4247625, , 
         -9.9,    -0.4226325, , 
         -9.8,    -0.4202762, , 
         -9.7,    -0.4178992, , 
         -9.6,    -0.4155129, , 
         -9.5,    -0.4131457, , 
         -9.4,    -0.4108203, , 
         -9.3,    -0.4085656, , 
         -9.2,    -0.4064145, , 
         -9.1,    -0.4044078, , 
           -9,    -0.4025578, , 
         -8.9,    -0.4007878, , 
         -8.8,    -0.3988673, , 
         -8.7,    -0.3971685, , 
         -8.6,    -0.3964015, , 
         -8.5,    -0.3967551, , 
         -8.4,    -0.3984115, , 
         -8.3,     -0.398847, , 
         -8.2,    -0.3999204, , 
           -8,    -0.3846872, , 
         -7.9,    -0.3765685, , 
         -7.8,    -0.3677838, , 
         -7.7,    -0.3588738, , 
         -7.6,    -0.3495511, , 
         -7.5,    -0.3395392, , 
         -7.4,    -0.3294274, , 
         -7.3,    -0.3185418, , 
         -7.2,    -0.3070933, , 
         -7.1,    -0.2954127, , 
           -7,    -0.2831694, , 
         -6.9,      -0.27092, , 
         -6.8,    -0.2579953, , 
         -6.7,    -0.2449913, , 
         -6.6,     -0.231778, , 
         -6.5,    -0.2181499, , 
         -6.4,    -0.2046088, , 
         -6.3,    -0.1911768, , 
         -6.2,     -0.178249, , 
         -6.1,    -0.1719856, , 
           -6,    -0.1640284, , 
         -5.9,    -0.1548953, , 
         -5.8,    -0.1450818, , 
         -5.7,    -0.1348277, , 
         -5.6,    -0.1242211, , 
         -5.5,     -0.113438, , 
         -5.4,    -0.1029671, , 
         -5.3,   -0.09242844, , 
         -5.2,   -0.08186175, , 
         -5.1,   -0.07123921, , 
           -5,   -0.06070299, , 
         -4.9,    -0.0529262, , 
         -4.8,   -0.03815063, , 
         -4.7,   -0.02877769, , 
         -4.6,   -0.01995418, , 
         -4.5,  -0.009299145, , 
         -4.4,   0.001702866, , 
           -4,    0.04276857, , 
         -3.8,    0.06425378, , 
         -3.7,    0.07528467, , 
         -3.6,    0.08655514, , 
         -3.5,    0.09816833, , 
         -3.4,     0.1098362, , 
         -3.3,      0.122521, , 
         -3.2,     0.1361905, , 
           -3,     0.1598071, , 
         -2.9,     0.1715387, , 
         -2.7,       0.19508, , 
         -2.6,     0.2066932, , 
         -2.5,     0.2179213, , 
         -2.4,     0.2289059, , 
         -2.3,     0.2397167, , 
         -2.2,      0.250522, , 
         -2.1,     0.2615193, , 
           -2,     0.2728117, , 
         -1.9,       0.28426, , 
         -1.8,     0.2956889, , 
         -1.7,     0.3070401, , 
         -1.6,     0.3181736, , 
         -1.5,      0.329007, , 
         -1.4,     0.3395935, , 
         -1.3,     0.3503615, , 
         -1.2,     0.3614179, , 
         -1.1,     0.3726753, , 
           -1,     0.3840252, , 
         -0.9,     0.3953373, , 
         -0.8,     0.4065857, , 
         -0.7,      0.417657, , 
         -0.6,     0.4282419, , 
         -0.5,     0.4385001, , 
         -0.4,     0.4490424, , 
         -0.3,     0.4601467, , 
         -0.2,     0.4711934, , 
         -0.1,     0.4821688, , 
            0,     0.4930061, , 
          0.1,     0.5038165, , 
          0.2,     0.5146792, , 
          0.3,     0.5256667, , 
          0.4,     0.5367539, , 
          0.5,     0.5478966, , 
          0.6,     0.5590958, , 
          0.7,     0.5702498, , 
          0.8,     0.5812353, , 
          0.9,      0.592116, , 
            1,     0.6029523, , 
          1.1,      0.613673, , 
          1.2,     0.6243826, , 
          1.3,     0.6353543, , 
          1.4,     0.6464338, , 
          1.5,     0.6573258, , 
          1.7,     0.6776546, , 
          1.8,     0.6871936, , 
          1.9,     0.6962901, , 
            2,      0.705111, , 
          2.1,     0.7161112, , 
          2.2,     0.7269426, , 
          2.3,     0.7359993, , 
          2.4,     0.7464766, , 
          2.5,     0.7568648, , 
          2.6,     0.7676289, , 
          2.7,     0.7785676, , 
          2.8,     0.7895196, , 
          2.9,     0.8004586, , 
            3,     0.8113853, , 
          3.2,     0.8333781, , 
          3.3,     0.8443905, , 
          3.4,     0.8553983, , 
          3.5,     0.8664007, , 
          3.6,     0.8773922, , 
          3.7,     0.8883734, , 
          3.8,     0.8993443, , 
          3.9,     0.9103043, , 
            4,     0.9212519, , 
          4.1,     0.9321859, , 
          4.2,     0.9430637, , 
          4.3,     0.9539624, , 
          4.4,      0.964838, , 
          4.5,     0.9756723, , 
          4.6,     0.9863632, , 
          4.7,      0.995119, , 
          4.8,      1.004336, , 
          4.9,      1.014656, , 
            5,       1.02219, , 
          5.1,       1.03243, , 
          5.2,      1.042808, , 
          5.3,      1.053291, , 
          5.4,      1.063749, , 
          5.5,      1.074224, , 
          5.6,      1.084709, , 
          5.7,      1.095173, , 
          5.8,      1.105615, , 
          5.9,      1.116035, , 
            6,      1.126432, , 
          6.1,      1.136801, , 
          6.2,      1.147144, , 
          6.3,      1.157462, , 
          6.4,      1.167755, , 
          6.5,       1.17801, , 
          6.6,      1.188235, , 
          6.7,      1.198432, , 
          6.8,      1.208568, , 
          6.9,      1.218711, , 
            7,      1.228828, , 
          7.1,      1.238921, , 
          7.2,      1.249004, , 
          7.3,       1.25912, , 
          7.4,      1.268962, , 
          7.5,      1.278718, , 
          7.6,      1.288413, , 
          7.7,      1.298062, , 
          7.8,      1.307677, , 
          7.9,      1.317269, , 
            8,      1.326846, , 
          8.1,      1.336416, , 
          8.2,      1.345983, , 
          8.3,      1.355553, , 
          8.4,      1.365181, , 
          8.5,      1.374826, , 
          8.6,      1.384412, , 
          8.7,      1.393822, , 
          8.8,      1.403179, , 
          8.9,       1.41248, , 
            9,      1.421724, , 
          9.1,      1.430909, , 
          9.2,      1.440035, , 
          9.3,      1.449097, , 
          9.4,      1.458095, , 
          9.5,      1.467024, , 
          9.6,      1.475882, , 
          9.7,      1.484667, , 
          9.8,      1.493355, , 
          9.9,      1.501942, , 
           10,      1.510444, , 
         10.1,      1.518855, , 
         10.2,       1.52717, , 
         10.3,      1.535386, , 
         10.4,      1.543496, , 
         10.5,      1.551494, , 
         10.6,      1.559375, , 
         10.7,      1.567132, , 
         10.8,      1.574739, , 
         10.9,      1.582192, , 
           11,      1.589494, , 
         11.1,      1.596637, , 
         11.2,      1.603609, , 
         11.3,      1.610406, , 
         11.4,       1.61701, , 
         11.5,      1.623403, , 
         11.6,      1.629568, , 
         11.7,      1.635475, , 
         11.8,      1.641023, , 
         11.9,      1.646247, , 
           12,      1.650364, , 
         12.1,      1.653907, , 
         12.2,      1.656903, , 
         12.3,       1.65941, , 
         12.4,      1.661895, , 
         12.5,      1.664468, , 
         12.6,      1.666918, , 
         12.7,      1.668569, , 
         12.8,      1.670149, , 
         12.9,       1.67202, , 
           13,      1.674032, , 
         13.1,      1.676015, , 
         13.2,       1.67648, , 
         13.3,      1.676063, , 
         13.4,      1.676612, , 
         13.5,      1.677548, , 
         13.6,      1.678764, , 
         13.7,      1.680077, , 
         13.8,      1.681325, , 
         13.9,      1.682346, , 
           14,      1.683015, , 
         14.1,      1.683221, , 
         14.2,      1.680639, , 
         14.3,      1.677811, , 
         14.4,       1.67626, , 
         14.5,      1.674787, , 
         14.6,      1.671029, , 
         14.7,      1.666069, , 
         14.8,      1.663711, , 
         14.9,      1.661625, , 
           15,      1.659265, , 
         15.1,      1.656266, , 
         15.2,      1.650547, , 
         15.3,      1.640068, , 
         15.4,      1.634771, , 
         15.5,      1.629859, , 
         15.6,        1.6245, , 
         15.7,      1.617816, , 
         15.8,       1.60049, , 
         15.9,      1.593709, , 
           16,       1.58766, , 
         16.1,       1.58141, , 
         16.2,      1.574002, , 
         16.3,      1.552273, , 
         16.4,       1.54197, , 
         16.5,      1.534099, , 
         16.6,       1.52679, , 
         16.7,      1.519212, , 
         16.8,      1.510543, , 
         16.9,      1.492494, , 
           17,       1.48121, , 
         17.1,      1.469867, , 
         17.2,      1.447819, , 
         17.3,      1.437218, , 
         17.4,      1.428293, , 
         17.5,      1.419113, , 
         17.6,      1.408211, , 
         17.7,      1.380765, , 
         17.8,      1.372394, , 
         17.9,      1.365137, , 
           18,      1.358218, , 
         18.1,      1.349008, , 
         18.5,      1.290543, , 
         18.7,      1.285434, , 
         18.8,      1.282819, , 
         18.9,       1.27982, , 
           19,       1.27576, , 
         19.1,      1.205599, , 
         19.2,      1.204693, , 
         19.3,      1.204315, , 
         19.4,      1.204282, , 
         19.5,      1.204377, , 
         19.6,      1.204556, , 
         19.7,      1.204767, , 
         19.8,      1.204985, , 
         19.9,      1.205187, , 
           20,      1.205328, , 
         20.1,      1.205342, , 
         20.2,      1.205101, , 
         20.3,       1.20426, , 
         20.5,      1.174378, , 
           21,      1.173533, , 
         21.3,      1.151717, , 
         21.4,      1.152449, , 
         21.5,      1.153264, , 
         21.6,      1.154136, , 
         21.7,      1.155043, , 
         21.8,      1.155967, , 
         21.9,      1.156895, , 
           22,       1.15781, , 
         22.1,      1.158692, , 
         22.2,      1.159511, , 
         22.3,       1.16023, , 
         22.4,      1.160803, , 
         22.5,      1.161109, , 
         22.6,      1.160773, , 
         22.7,      1.139704, , 
         22.8,      1.140528, , 
         22.9,      1.141448, , 
           23,      1.142421, , 
         23.1,      1.143434, , 
         23.2,      1.144475, , 
         23.3,      1.145537, , 
         23.4,      1.146612, , 
         23.5,      1.147695, , 
         23.6,       1.14878, , 
         23.7,      1.149865, , 
         23.8,      1.150946, , 
         23.9,       1.15202, , 
           24,      1.153084, , 
         24.1,      1.154133, , 
         24.2,      1.155162, , 
         24.3,      1.156175, , 
         24.4,      1.157166, , 
         24.5,      1.158129, , 
         24.6,      1.159062, , 
         24.7,      1.159957, , 
         24.8,      1.160804, , 
         24.9,      1.161597, , 
           25,      1.162305, , 
         25.1,      1.162793, , 
         25.2,      1.159936, , 
         25.3,       1.15923, , 
         25.4,      1.159256, , 
         25.5,      1.159403, , 
         25.6,      1.159578, , 
         25.7,       1.15974, , 
         25.8,      1.159866, , 
         25.9,      1.159935, , 
           26,      1.159917, , 
         26.1,      1.159692, , 
         26.2,      1.159334, , 
         26.3,      1.159016, , 
         26.4,      1.158664, , 
         26.5,      1.158232, , 
         26.6,      1.157692, , 
         26.7,      1.157019, , 
         26.8,       1.15619, , 
         26.9,      1.155175, , 
           27,      1.153939, , 
         27.1,      1.152435, , 
         27.2,        1.1506, , 
         27.3,      1.148339, , 
         27.4,      1.145496, , 
         27.5,      1.141789, , 
         27.6,      1.136573, , 
         27.7,      1.127255, , 
         27.8,     0.8725333, , 
         27.9,     0.8695927, , 
           28,     0.8667864, , 
         28.1,      0.864106, , 
         28.2,     0.8615416, , 
         28.3,     0.8590847, , 
         28.4,     0.8567275, , 
         28.5,     0.8544632, , 
         28.6,     0.8522856, , 
         28.7,     0.8501892, , 
         28.8,     0.8481689, , 
         28.9,     0.8462201, , 
           29,     0.8443387, , 
         29.1,      0.842521, , 
         29.2,     0.8407632, , 
         29.3,      0.839062, , 
         29.4,     0.8374461, , 
         29.5,     0.8359322, , 
         29.6,     0.8344707, , 
         29.7,     0.8330583, , 
         29.8,     0.8316923, , 
         29.9,     0.8303701, , 
           30,     0.8290889, , 

