Alpha,T1_Re1.000_M0.00_N9.0, , 
        -14.6,    0.01313279, , 
        -14.5,    0.01267502, , 
        -14.4,    0.01221567, , 
        -14.3,    0.01174931, , 
        -14.2,    0.01126767, , 
        -14.1,    0.01076446, , 
          -14,    0.01025087, , 
        -13.9,   0.009732534, , 
        -13.8,   0.009209819, , 
        -13.7,    0.00868701, , 
        -13.6,   0.008164579, , 
        -13.5,   0.007641602, , 
        -13.4,   0.007116368, , 
        -13.3,    0.00659139, , 
        -13.2,   0.006066674, , 
        -13.1,   0.005542243, , 
          -13,   0.005018142, , 
        -12.9,   0.004493999, , 
        -12.8,   0.003968835, , 
        -12.7,   0.003444215, , 
        -12.6,   0.002920393, , 
        -12.5,   0.002397656, , 
        -12.4,   0.001876393, , 
        -12.3,    0.00135712, , 
        -12.2,  0.0008405138, , 
        -12.1,  0.0003258954, , 
          -12, -0.0001847838, , 
        -11.9, -0.0006900603, , 
        -11.8,  -0.001189807, , 
        -11.7,  -0.001687237, , 
        -11.6,  -0.002194098, , 
        -11.5,  -0.002732003, , 
        -11.4,  -0.003298056, , 
        -11.3,  -0.003869915, , 
        -11.2,  -0.004447603, , 
        -11.1,  -0.005031024, , 
          -11,  -0.005620003, , 
        -10.9,  -0.006214253, , 
        -10.8,  -0.006813341, , 
        -10.7,  -0.007417409, , 
        -10.6,  -0.008024713, , 
        -10.5,  -0.008634033, , 
        -10.4,  -0.009243682, , 
        -10.3,  -0.009845881, , 
        -10.2,    -0.0104184, , 
        -10.1,   -0.01097816, , 
          -10,   -0.01154024, , 
         -9.9,    -0.0121323, , 
         -9.8,   -0.01276744, , 
         -9.7,   -0.01341142, , 
         -9.6,   -0.01405547, , 
         -9.5,   -0.01469929, , 
         -9.4,    -0.0153394, , 
         -9.3,   -0.01597057, , 
         -9.2,   -0.01658592, , 
         -9.1,   -0.01717838, , 
           -9,   -0.01774537, , 
         -8.9,   -0.01831074, , 
         -8.8,   -0.01892664, , 
         -8.7,   -0.01951592, , 
         -8.6,   -0.01996048, , 
         -8.5,   -0.02010511, , 
         -8.4,   -0.01996885, , 
         -8.3,   -0.02019429, , 
         -8.2,   -0.02032266, , 
           -8,   -0.02518875, , 
         -7.9,   -0.02780986, , 
         -7.8,   -0.03072601, , 
         -7.7,      -0.03362, , 
         -7.6,   -0.03662129, , 
         -7.5,   -0.03983216, , 
         -7.4,   -0.04294698, , 
         -7.3,   -0.04625679, , 
         -7.2,   -0.04962791, , 
         -7.1,     -0.052905, , 
           -7,   -0.05619922, , 
         -6.9,   -0.05931077, , 
         -6.8,   -0.06241816, , 
         -6.7,   -0.06537443, , 
         -6.6,   -0.06821393, , 
         -6.5,   -0.07095067, , 
         -6.4,   -0.07347072, , 
         -6.3,   -0.07572536, , 
         -6.2,    -0.0775101, , 
         -6.1,   -0.08182118, , 
           -6,   -0.08228216, , 
         -5.9,   -0.08231492, , 
         -5.8,   -0.08231426, , 
         -5.7,   -0.08232055, , 
         -5.6,   -0.08234093, , 
         -5.5,    -0.0823415, , 
         -5.4,   -0.08222786, , 
         -5.3,   -0.08217269, , 
         -5.2,   -0.08210747, , 
         -5.1,   -0.08202403, , 
           -5,   -0.08188265, , 
         -4.9,    -0.0809596, , 
         -4.8,   -0.08194279, , 
         -4.7,   -0.08137343, , 
         -4.6,   -0.08066112, , 
         -4.5,   -0.08035271, , 
         -4.4,   -0.07973388, , 
           -4,   -0.08043949, , 
         -3.8,   -0.08065835, , 
         -3.7,   -0.08067401, , 
         -3.6,   -0.08063264, , 
         -3.5,   -0.08049829, , 
         -3.4,   -0.08046619, , 
         -3.3,   -0.07978019, , 
         -3.2,   -0.07958848, , 
           -3,   -0.07874862, , 
         -2.9,   -0.07864708, , 
         -2.7,   -0.07814707, , 
         -2.6,   -0.07796197, , 
         -2.5,   -0.07781929, , 
         -2.4,   -0.07765216, , 
         -2.3,   -0.07746176, , 
         -2.2,   -0.07727815, , 
         -2.1,   -0.07713511, , 
           -2,   -0.07704834, , 
         -1.9,   -0.07699235, , 
         -1.8,   -0.07692301, , 
         -1.7,   -0.07683766, , 
         -1.6,   -0.07672836, , 
         -1.5,   -0.07657431, , 
         -1.4,   -0.07638925, , 
         -1.3,   -0.07624751, , 
         -1.2,   -0.07616142, , 
         -1.1,   -0.07611332, , 
           -1,    -0.0760866, , 
         -0.9,   -0.07605826, , 
         -0.8,   -0.07602285, , 
         -0.7,   -0.07596421, , 
         -0.6,    -0.0758849, , 
         -0.5,   -0.07576565, , 
         -0.4,   -0.07580697, , 
         -0.3,    -0.0757692, , 
         -0.2,   -0.07572482, , 
         -0.1,   -0.07567657, , 
            0,   -0.07561761, , 
          0.1,   -0.07555765, , 
          0.2,   -0.07550794, , 
          0.3,   -0.07547653, , 
          0.4,   -0.07546355, , 
          0.5,   -0.07545527, , 
          0.6,   -0.07545196, , 
          0.7,   -0.07544784, , 
          0.8,   -0.07544521, , 
          0.9,   -0.07542799, , 
            1,   -0.07538284, , 
          1.1,   -0.07532797, , 
          1.2,   -0.07527194, , 
          1.3,   -0.07523538, , 
          1.4,   -0.07524254, , 
          1.5,    -0.0752283, , 
          1.7,   -0.07522063, , 
          1.8,   -0.07539079, , 
          1.9,    -0.0751279, , 
            2,   -0.07444475, , 
